               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022032,           0.0097523,            0.002965,             0.92246,                   1,             0.94977,             0.59989,            0.010272,           0.0056181,          0.00015974,             0.00307,             0.00307,             0.00307
                  37,            0.020943,           0.0095085,           0.0035483,             0.93275,             0.99788,             0.94977,             0.60825,           0.0095278,           0.0055502,          0.00016165,            0.002872,            0.002872,            0.002872
                  38,            0.020968,           0.0090865,           0.0040915,             0.93036,             0.96984,             0.94286,             0.58179,            0.010075,           0.0063044,          0.00092869,            0.002674,            0.002674,            0.002674
                  39,            0.021169,           0.0090758,           0.0042202,             0.92754,             0.99559,             0.95184,             0.61706,           0.0093801,           0.0058984,           0.0002201,            0.002476,            0.002476,            0.002476
                  40,             0.02165,           0.0090135,           0.0022174,             0.90524,              0.9955,             0.94977,              0.6152,           0.0087744,           0.0051393,          0.00016759,            0.002278,            0.002278,            0.002278
                  41,            0.020967,           0.0094429,            0.003657,             0.92941,             0.99469,             0.94977,             0.59054,           0.0090638,           0.0054885,          0.00022439,             0.00208,             0.00208,             0.00208
                  42,            0.020458,           0.0090672,           0.0031774,             0.92793,             0.99519,             0.94977,             0.58715,           0.0097543,           0.0059143,          0.00020127,            0.001882,            0.001882,            0.001882
                  43,             0.01926,           0.0090683,           0.0032093,             0.92972,             0.98849,             0.94977,             0.58317,           0.0098302,           0.0057617,          0.00024183,            0.001684,            0.001684,            0.001684
                  44,            0.019001,           0.0084726,           0.0025816,             0.93011,             0.98918,             0.94977,             0.60709,            0.009497,           0.0059329,          0.00024233,            0.001486,            0.001486,            0.001486
                  45,            0.019205,           0.0087489,           0.0021011,             0.93164,             0.99329,             0.94977,             0.60994,            0.009293,              0.0057,          0.00016446,            0.001288,            0.001288,            0.001288
                  46,            0.018329,           0.0085542,           0.0015959,             0.93056,             0.99468,             0.95182,             0.58379,           0.0093717,           0.0059937,          0.00013441,             0.00109,             0.00109,             0.00109
                  47,            0.018143,           0.0084195,           0.0020256,             0.92869,             0.99412,             0.95182,             0.57634,           0.0096702,           0.0066772,          0.00013223,            0.000892,            0.000892,            0.000892
                  48,            0.018092,           0.0084594,           0.0024651,             0.92817,             0.98999,             0.95182,             0.59378,           0.0092272,           0.0061806,           0.0001135,            0.000694,            0.000694,            0.000694
                  49,            0.018812,           0.0084363,           0.0023598,             0.92783,             0.98719,             0.95182,             0.62563,            0.009039,           0.0058291,          0.00010944,            0.000496,            0.000496,            0.000496
