               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096145,            0.023764,            0.029291,             0.77587,             0.15625,             0.29874,             0.14114,            0.027309,             0.01171,             0.01302,            0.070811,           0.0032432,           0.0032432
                   1,            0.064765,            0.023117,            0.026456,             0.41512,              0.7385,             0.59779,             0.32641,            0.025224,           0.0080345,            0.011502,            0.039509,           0.0052744,           0.0052744
                   2,             0.05652,            0.019903,            0.025491,              0.5043,             0.84375,             0.74797,             0.31318,            0.025693,           0.0061808,            0.011348,           0.0068865,           0.0059856,           0.0059856
                   3,            0.049195,            0.019618,            0.023292,             0.56146,             0.71973,             0.73863,             0.38258,            0.021572,           0.0056547,           0.0091164,             0.00406,             0.00406,             0.00406
                   4,            0.045528,            0.017182,            0.020016,             0.57155,             0.91875,             0.79087,             0.45298,            0.015206,           0.0055086,           0.0051425,             0.00406,             0.00406,             0.00406
